perf,rt,cond,block,sbj
1,479.9847,1,1,1
1,399.9858,1,1,1
1,389.9862,3,1,1
1,459.9584,1,1,1
1,359.8826,1,1,1
1,429.9591,3,1,1
1,489.9829,3,1,1
1,489.9835,1,1,1
1,360.0123,2,1,1
1,979.9645,3,1,1
1,379.9857,1,1,1
1,439.9822,1,1,1
1,539.9815,1,1,1
1,559.9638,3,1,1
1,449.9843,1,1,1
0,439.9833,2,1,1
1,439.985,1,1,1
1,349.9861,3,1,1
1,519.9817,1,1,1
1,589.9795,1,1,1
1,479.9836,3,1,1
1,429.9837,3,1,1
1,409.9865,1,1,1
1,349.9869,1,1,1
1,359.9879,3,1,1
1,379.9866,1,1,1
1,399.9869,1,1,1
1,419.9838,1,1,1
1,359.9865,1,1,1
1,389.9856,3,1,1
1,509.9841,1,1,1
1,339.9862,3,1,1
1,389.9887,2,1,1
1,409.9851,1,1,1
1,419.9852,3,1,1
1,459.9836,2,1,1
1,409.987,1,1,1
1,269.9919,3,1,1
1,499.9828,1,1,1
1,429.9862,1,1,1
1,499.9809,1,1,1
1,649.9784,3,1,1
0,529.9766,3,1,1
1,519.9823,1,1,1
1,379.9868,1,1,1
1,469.9846,1,1,1
1,509.9827,1,1,1
1,479.9875,3,1,1
1,459.9861,2,1,1
1,429.9871,3,1,1
1,539.9809,1,1,1
1,519.9806,1,1,1
1,509.9833,3,1,1
1,509.9819,2,1,1
1,349.9872,1,1,1
1,409.9848,1,1,1
1,489.9829,3,1,1
0,309.9877,2,1,1
1,379.986,3,1,1
1,509.9813,2,1,1
1,480.0094,3,2,1
1,560.0053,2,2,1
1,469.9824,1,2,1
1,390.0108,3,2,1
1,329.9883,1,2,1
1,449.9843,1,2,1
1,429.9848,1,2,1
1,569.9789,1,2,1
1,399.9858,3,2,1
1,409.9341,3,2,1
1,419.9777,1,2,1
1,349.9872,1,2,1
1,389.9859,1,2,1
1,489.9832,3,2,1
1,559.9798,1,2,1
1,609.8786,3,2,1
1,459.9844,1,2,1
1,459.9839,1,2,1
1,369.9875,1,2,1
1,499.9817,1,2,1
1,439.9844,3,2,1
1,449.9846,1,2,1
1,549.9808,3,2,1
1,489.9843,1,2,1
1,509.983,1,2,1
1,499.9837,3,2,1
1,599.9771,1,2,1
1,459.9853,1,2,1
1,419.9847,1,2,1
1,459.9844,3,2,1
1,599.9793,1,2,1
1,469.9835,1,2,1
1,429.9865,3,2,1
0,459.9836,1,2,1
1,409.9848,1,2,1
1,469.9829,3,2,1
1,419.9852,1,2,1
1,439.9861,1,2,1
0,399.988,3,2,1
1,559.9793,3,2,1
1,349.9869,2,2,1
1,409.9867,1,2,1
1,409.9831,2,2,1
1,339.9876,3,2,1
1,319.9887,1,2,1
1,389.9864,3,2,1
1,429.9848,1,2,1
1,459.9836,2,2,1
1,319.9904,3,2,1
1,389.987,1,2,1
1,329.99,1,2,1
0,509.981,1,2,1
1,399.9877,2,2,1
1,399.9874,3,2,1
1,549.9808,2,2,1
1,439.9844,2,2,1
1,449.9832,3,2,1
1,449.9837,1,2,1
1,349.9872,3,2,1
1,339.9876,2,2,1
1,509.9813,2,3,1
1,370.1133,1,3,1
1,339.9876,3,3,1
1,389.9615,1,3,1
1,430.0095,1,3,1
1,369.9889,3,3,1
1,499.9585,1,3,1
0,679.9758,3,3,1
1,399.9866,2,3,1
1,349.9626,3,3,1
1,429.9834,1,3,1
1,539.9809,2,3,1
1,379.9868,1,3,1
1,569.978,1,3,1
1,509.981,3,3,1
1,709.9752,1,3,1
1,409.9862,1,3,1
1,349.9883,3,3,1
1,389.9839,2,3,1
1,339.9873,3,3,1
0,229.9926,1,3,1
1,450.0832,3,3,1
1,719.9745,1,3,1
1,359.9874,1,3,1
1,489.9818,3,3,1
1,369.9881,1,3,1
1,369.987,1,3,1
1,309.9911,1,3,1
1,439.9833,3,3,1
1,379.9866,1,3,1
1,399.9855,1,3,1
1,449.9843,1,3,1
1,509.9819,3,3,1
1,449.9837,1,3,1
1,489.9843,1,3,1
1,559.9796,3,3,1
1,559.9787,2,3,1
1,479.9764,1,3,1
1,479.9831,3,3,1
1,509.9824,2,3,1
1,509.9833,3,3,1
1,609.9775,1,3,1
0,519.982,1,3,1
1,469.9838,3,3,1
1,519.9823,2,3,1
1,439.9847,3,3,1
1,349.9886,1,3,1
1,449.9846,1,3,1
1,519.9828,2,3,1
1,989.9644,1,3,1
1,429.9918,3,3,1
0,319.9904,1,3,1
1,459.9842,3,3,1
1,439.9841,1,3,1
1,429.9834,3,3,1
1,329.9889,1,3,1
1,419.8944,1,3,1
1,479.982,1,3,1
1,699.9652,1,3,1
